L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
6.9500     1.68699850      -1344.073897      -89.38      0.94      1.71
7.0000     1.73631140      -1363.482969      -92.68      0.93      1.69
7.0500     1.78343931      -1383.031177      -96.05      0.92      1.66
7.1000     1.83707366      -1402.718519      -99.48      0.90      1.64
7.1500     1.88839268      -1422.544998      -102.97      0.89      1.62
7.2000     1.93693557      -1442.510612      -106.54      0.88      1.60
7.2500     1.98737455      -1462.615360      -110.17      0.87      1.58
7.3000     2.03980968      -1482.859245      -113.87      0.86      1.56
7.3500     2.09434771      -1503.242265      -117.64      0.85      1.53
7.4000     2.15110260      -1523.764420      -121.48      0.84      1.51
7.4500     2.20417790      -1544.425710      -125.38      0.82      1.50
7.5000     2.25924205      -1565.226136      -129.35      0.81      1.48
7.5500     2.31639566      -1586.165697      -133.39      0.80      1.46
7.6000     2.36903939      -1607.244395      -137.50      0.80      1.44
7.6500     2.42349834      -1628.462226      -141.68      0.79      1.43
7.7000     2.47985694      -1649.819194      -145.93      0.78      1.41
7.7500     2.53820458      -1671.315296      -150.25      0.77      1.39
7.8000     2.59863596      -1692.950534      -154.63      0.76      1.38
7.8500     2.66125151      -1714.724907      -159.09      0.75      1.36
7.9000     2.71791540      -1736.638417      -163.62      0.74      1.35
7.9500     2.77640850      -1758.691061      -168.22      0.74      1.33
8.0000     2.83681039      -1780.882840      -172.89      0.73      1.32
8.0500     2.89920503      -1803.213755      -177.63      0.72      1.30
8.1000     2.96368106      -1825.683805      -182.44      0.71      1.29
8.1500     3.02067367      -1848.292992      -187.32      0.70      1.28
8.2000     3.08926754      -1871.041312      -192.28      0.70      1.26
8.2500     3.14993915      -1893.928769      -197.30      0.69      1.25
8.3000     3.21241581      -1916.955360      -202.40      0.68      1.24
8.3500     3.27676983      -1940.121087      -207.57      0.68      1.23
8.4000     3.34307720      -1963.425950      -212.81      0.67      1.22
8.4500     3.41141778      -1986.869948      -218.13      0.66      1.20
8.5000     3.46998186      -2010.453082      -223.52      0.66      1.19
8.5500     3.54227126      -2034.175350      -228.98      0.65      1.18
8.6000     3.60425213      -2058.036754      -234.51      0.65      1.17
8.6500     3.68080053      -2082.037294      -240.12      0.64      1.16
8.7000     3.74646922      -2106.176968      -245.81      0.63      1.15
8.7500     3.81391110      -2130.455778      -251.56      0.63      1.14
8.8000     3.88319059      -2154.873723      -257.39      0.62      1.13
8.8500     3.95437505      -2179.430804      -263.29      0.62      1.12
8.9000     4.02753497      -2204.127021      -269.27      0.61      1.11
8.9500     4.08753470      -2228.962372      -275.32      0.61      1.10
9.0000     4.16443869      -2253.936859      -281.45      0.60      1.09
9.0500     4.24353363      -2279.050481      -287.65      0.59      1.08
9.1000     4.30844337      -2304.303239      -293.93      0.59      1.07
9.1500     4.39169643      -2329.695132      -300.29      0.58      1.06
9.2000     4.46004870      -2355.226160      -306.71      0.58      1.05
9.2500     4.53000922      -2380.896324      -313.22      0.58      1.04
9.3000     4.61979914      -2406.705624      -319.80      0.57      1.03
9.3500     4.69356726      -2432.654058      -326.45      0.57      1.02
9.4000     4.76911646      -2458.741628      -333.19      0.56      1.02
9.4500     4.84650455      -2484.968333      -339.99      0.56      1.01
9.5000     4.92579169      -2511.334174      -346.88      0.55      1.00
9.5500     5.00704053      -2537.839150      -353.84      0.55      0.99
9.6000     5.09031633      -2564.483261      -360.88      0.54      0.98
9.6500     5.17568706      -2591.266507      -367.99      0.54      0.98
9.7000     5.24113243      -2618.188890      -375.19      0.53      0.97
9.7500     5.33034163      -2645.250408      -382.46      0.53      0.96
9.8000     5.42184802      -2672.451061      -389.80      0.53      0.95
9.8500     5.49203305      -2699.790848      -397.23      0.52      0.95
9.9000     5.58775300      -2727.269772      -404.73      0.52      0.94
9.9500     5.66119478      -2754.887831      -412.31      0.51      0.93
