L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
{5.0000  ,   0.03313860  ,    -745.036835  },    -1.00      6.73      12.21
{5.0500  ,   0.03317185  ,    -759.503580  },    -1.00      6.72      12.20
{5.1000  ,   0.03319404  ,    -774.109398  },    -1.00      6.72      12.20
{5.1500  ,   0.03322736  ,    -788.854287  },    -1.00      6.72      12.19
{5.2000  ,   0.03324961  ,    -803.738245  },    -1.00      6.72      12.19
{5.2500  ,   0.03328302  ,    -818.761269  },    -1.00      6.71      12.18
{5.3000  ,   0.03330532  ,    -833.923359  },    -1.00      6.71      12.18
{5.3500  ,   0.03332765  ,    -849.224511  },    -1.00      6.71      12.17
{5.4000  ,   0.03334999  ,    -864.664724  },    -1.00      6.71      12.17
{5.4500  ,   0.03337236  ,    -880.238631  },    -1.00      6.70      12.16
{5.5000  ,   0.03339475  ,    -895.956865  },    -1.00      6.70      12.16
{5.5500  ,   0.03342838  ,    -911.819710  },    -1.00      6.70      12.15
{5.6000  ,   0.03345083  ,    -927.816147  },    -1.00      6.70      12.15
{5.6500  ,   0.03346207  ,    -943.940132  },    -1.00      6.70      12.15
{5.7000  ,   0.03349580  ,    -960.226174  },    -1.00      6.69      12.14
{5.7500  ,   0.03352958  ,    -976.651661  },    -1.00      6.69      12.13
{5.8000  ,   0.03356341  ,    -993.216596  },    -1.00      6.69      12.13
{5.8500  ,   0.03355213  ,    -1009.884064 },     -1.00      6.69      12.13
{5.9000  ,   0.03358600  ,    -1026.721035 },     -1.00      6.68      12.12
{5.9500  ,   0.03359730  ,    -1043.690893 },     -1.00      6.68      12.12
{6.0000  ,   0.03361992  ,    -1060.793328 },     -1.00      6.68      12.12
{6.0500  ,   0.03364256  ,    -1078.054290 },     -1.00      6.68      12.11
{6.1000  ,   0.03365389  ,    -1095.434690 },     -1.00      6.68      12.11
{6.1500  ,   0.03368791  ,    -1112.967469 },     -1.00      6.67      12.11
{6.2000  ,   0.03369926  ,    -1130.632607 },     -1.00      6.67      12.10
{6.2500  ,   0.03368791  ,    -1148.408794 },     -1.00      6.67      12.11
{6.3000  ,   0.03375611  ,    -1166.394176 },     -1.00      6.67      12.09
{6.3500  ,   0.03375611  ,    -1184.462187 },     -1.00      6.67      12.09
{6.4000  ,   0.03377889  ,    -1202.690755 },     -1.00      6.66      12.09
{6.4500  ,   0.03379029  ,    -1221.043694 },     -1.00      6.66      12.09
{6.5000  ,   0.03381310  ,    -1239.558075 },     -1.00      6.66      12.08
{6.5500  ,   0.03382451  ,    -1258.188940 },     -1.00      6.66      12.08
{6.6000  ,   0.03384736  ,    -1276.974147 },     -1.00      6.66      12.08
{6.6500  ,   0.03384736  ,    -1295.874924 },     -1.00      6.66      12.08
{6.7000  ,   0.03391605  ,    -1314.978304 },     -1.00      6.65      12.07
{6.7500  ,   0.03390458  ,    -1334.148985 },     -1.00      6.65      12.07
{6.8000  ,   0.03391605  ,    -1353.482694 },     -1.00      6.65      12.07
{6.8500  ,   0.03393899  ,    -1372.963771 },     -1.00      6.65      12.06
{6.9000  ,   0.03393899  ,    -1392.567135 },     -1.00      6.65      12.06
{6.9500  ,   0.03392751  ,    -1412.292069 },     -1.00      6.65      12.06
{7.0000  ,   0.03399644  ,    -1432.233747 },     -1.00      6.64      12.05
{7.0500  ,   0.03399644  ,    -1452.245160 },     -1.00      6.64      12.05
{7.1000  ,   0.03400795  ,    -1472.417490 },     -1.00      6.64      12.05
{7.1500  ,   0.03403099  ,    -1492.738026 },     -1.00      6.64      12.05
{7.2000  ,   0.03403099  ,    -1513.174904 },     -1.00      6.64      12.05
{7.2500  ,   0.03405404  ,    -1533.769197 },     -1.00      6.64      12.04
{7.3000  ,   0.03413493  ,    -1554.568956 },     -1.00      6.63      12.03
{7.3500  ,   0.03407712  ,    -1575.356335 },     -1.00      6.63      12.04
{7.4000  ,   0.03408867  ,    -1596.358388 },     -1.00      6.63      12.03
{7.4500  ,   0.03411179  ,    -1617.509269 },     -1.00      6.63      12.03
{7.5000  ,   0.03413493  ,    -1638.799393 },     -1.00      6.63      12.03
{7.5500  ,   0.03421611  ,    -1660.299474 },     -1.00      6.62      12.01
{7.6000  ,   0.03414651  ,    -1681.776903 },     -1.00      6.63      12.02
{7.6500  ,   0.03416968  ,    -1703.484493 },     -1.00      6.63      12.02
{7.7000  ,   0.03418128  ,    -1725.320828 },     -1.00      6.62      12.02
{7.7500  ,   0.03419288  ,    -1747.306770 },     -1.00      6.62      12.02
{7.8000  ,   0.03413493  ,    -1769.335073 },     -1.00      6.63      12.03
{7.8500  ,   0.03421611  ,    -1791.674582 },     -1.00      6.62      12.01
{7.9000  ,   0.03423935  ,    -1814.077980 },     -1.00      6.62      12.01
{7.9500  ,   0.03423935  ,    -1836.609449 },     -1.00      6.62      12.01
{8.0000  ,   0.03426262  ,    -1859.291195 },     -1.00      6.62      12.00
{8.0500  ,   0.03434425  ,    -1882.192317 },     -1.00      6.61      11.99
{8.1000  ,   0.03427427  ,    -1905.049239 },     -1.00      6.62      12.00
{8.1500  ,   0.03428592  ,    -1928.136705 },     -1.00      6.61      12.00
{8.2000  ,   0.03429757  ,    -1951.375000 },     -1.00      6.61      12.00
{8.2500  ,   0.03432090  ,    -1974.752535 },     -1.00      6.61      11.99
{8.3000  ,   0.03440274  ,    -1998.354376 },     -1.00      6.60      11.98
{8.3500  ,   0.03434425  ,    -2021.913036 },     -1.00      6.61      11.99
{8.4000  ,   0.03436763  ,    -2045.708154 },     -1.00      6.61      11.99
{8.4500  ,   0.03436763  ,    -2069.629930 },     -1.00      6.61      11.99
{8.5000  ,   0.03439103  ,    -2093.716116 },     -1.00      6.60      11.98
{8.5500  ,   0.03439103  ,    -2117.903208 },     -1.00      6.60      11.98
{8.6000  ,   0.03439103  ,    -2142.228953 },     -1.00      6.60      11.98
{8.6500  ,   0.03440274  ,    -2166.719692 },     -1.00      6.60      11.98
{8.7000  ,   0.03437933  ,    -2191.296384 },     -1.00      6.61      11.98
{8.7500  ,   0.03442618  ,    -2216.105421 },     -1.00      6.60      11.98
{8.8000  ,   0.03442618  ,    -2241.000109 },     -1.00      6.60      11.98
{8.8500  ,   0.03444964  ,    -2266.054398 },     -1.00      6.60      11.97
{8.9000  ,   0.03446138  ,    -2291.234152 },     -1.00      6.60      11.97
{8.9500  ,   0.03447312  ,    -2316.552995 },     -1.00      6.60      11.97
{9.0000  ,   0.03448488  ,    -2342.010925 },     -1.00      6.60      11.97
